Sr No.,Questions,Bloom's Taxamony
1,CASE stands for,Remembering
2,What is Cyclomatic complexity?,Understanding
3,"When elements of module are grouped together that are executedsequentially in order to perform a task, is called ______",Understanding
4,Which of the following is the Process Improvement Model?,Remembering
5,What types of errors are not done by Black-Box Testing and can beuncovered by White-Box Testing?,Understanding
6,Which is the worst type of coupling?,Remembering
7,Cohesion is a qualitative indication of the degree to which amodule,Understanding
8,Which is not a step of Requirement Engineering?,Remembering
9,Effective software project management focuses on,Remembering
10,What do we mean by a cross-functional Development Team?  The Development Team should have all the skills necessary todeliver the Done Increment,Understanding
11,What happens when all the Sprint Items cannot be completed?,Understanding
12,Which of the following is not an agile method?,Remembering
13,The UML supports event-based modeling using ____________diagrams.,Understanding
14,Which of the following diagram is prepare for showcasing behaviorof single object?,Remembering
15,Which of the following is not obvious relationship between two taskin MS Project?,Remembering
16,Which symbol is not allowed in Context level DFD?,Remembering
17,Which of the following Calendar is not Default Colander in MSProject?,Remembering
18,A user story that is too large is broken into smaller storiescalled ____.,Remembering
19,A project's '____' state is created when all product backlog itemsare started.,Remembering
20,"What is software testing and why is it required? Differentiatebetween Black-Box testing and Structural (White-Box) Testing. How Acceptance, Alpha and Beta Testing are differing from each other?",Analyze
21,Define the roles in Scrum? Explain Agile software developmentprocess in detail. Differentiate between Scrum and Sprint.,Understanding
22,What do you mean by software maintenance? What are the differenttypes of maintenance that a software product might need?,Analyze
23,Show how the failure curve of software differs from that ofhardware. Software doesn't wear out but it deteriorates due tochange. Justify. How do software myths affect a software project?,Analyze
24,How Design Thinking will help us to solve the problem? Explainvarious stages of Design Thinking.,Apply
25,Why it is required to have certification for any Software industry?Compare CMM with ISO 9000 certification.,Evaluate
26,What is a risk? What are the risk management activities? What typesof risks are likely to encounter as software is built? How wouldyou identify the risks and how to contaminate risks from theproject?,Understanding
27,How Gantt Chart is different from PERT Chart? How to do tracking ofProject using Gantt Chart and PERT Chart? What is Baseline ofProject? How Baseline is useful in tracking activity?,Analyze
28,Which among the following represents the objectives/requirements of Data Link Layer?,Understanding
29,The Web is a______________________application-layer architecture.,Remembering
30,The address of the original IEEE 802 MAC comes from ___________.,Remembering
31,Which layer is used for wireless connection in IoT devices?,Remembering
32,"Match the classes of IP addresses with their functionalapplications

A. Class A -------------------- 1) Multicast services
B. Class B -------------------- 2) Reserved for future use
C. Class D -------------------- 3) Large organizations
D. Class E -------------------- 4) Midsize Organizations",Remembering
33,Which layer is CoAP?,Remembering
34,What does HTTP do?,Remembering
35,"When integrating internet services, XML is primarily used for:",Understanding
36,How does Software-Defined Networking (SDN) facilitate theintegration of IoT devices into a network?,Analyze
37,Which of the following is a key difference between IPv4 and IPv6?,Remembering
38,What differentiates the Web of Things (WoT) from traditional IoT?,Remembering
39,What is the primary purpose of a functional stack in IoT systems?,Understanding
40,___________ are the main components in IOT.,Remembering
41,Full form of LPWAN,Remembering
42,"In MQTT, what role does a ""broker"" play in the communicationprocess?",Understanding
43,Which of the following is a characteristic of IoT?,Remembering
44,Monitor target of the smart ________ includes sensor objects in thepower link.,Remembering
45,Which statement is TRUE with respect to the IEEE 802.15.4 standard?,Evaluate
46,Which of the following allows data processing close to device?,Remembering
47,Which of the following statements is/are correct with respect toNFC(Near Field Communication)?[a] It is a contactless communication technologythat uses electromagnetic radio fields.[b] NFC is designed for use by devices which can be at a distanceof a centimeter from each other.[c] NFC can use encryption while sending sensitive information.,Understanding
48,"Describe the concept of the ""Internet of Everything"" (IoE), and howdoes it expand upon the idea of the Internet of Things (IoT) byincorporating new elements and technologies?",Analyze
49,Differentiate between IoT and M2M technologies. Provide examplesto illustrate the differences.,Analyze
50,(ii)Enumerate and explain the essential characteristics of IoT.,Understanding
51,Elaborate on Cisco's IoT/M2M Security Framework and its role inenhancing IoT security.,Analyze
52,Explain RPL Protocol,Understanding
53,How does the 802.1X security protocol enhance network securityin the context of IoT and machine-to-machine (M2M)communication?,Analyze
54,"Discuss the key challenges in securing IoT devices, consideringboth hardware and software aspects.",Analyze
55,Describe the role of communication standards in IoT system. Docomparison between ZigBee and Wi-Fi.,Analyze
56,"Investigate an IoT application in environmental monitoring.Highlight how IoT devices and sensors are used to collect data onair quality, water quality, or climate conditions, and how thisdata is utilized for environmental protection and conservationefforts.",Analyze
57,Explain the concept of Low Energy Adaptive Clustering Hierarchy(LEACH) in IoT/M2M network architecture. Discuss its significancein extending the network lifetime and reducing energy consumption.Provide a step-by-step explanation of how LEACH operates and how it addresses the challenges of energy efficiency in wireless sensornetworks.,Analyze
58,Describe in detail the working mechanism of MQTT. Explain thevarious fields in the message format of MQTT,Understanding
59,"Discuss the key principles of designing a RESTful API for IoTdevices. Provide examples of how these principles can be applied inthe context of IoT, and discuss the advantages of using RESTfulAPIs for IoT applications.",Understanding
60,List down the messaging protocol of IoT and explain any 2,Understanding
61,List any two IoT applications in the Education/ Academicdomain. Answer the following with respect to your applications: List the hardware components that can be used to deploy theapplications at CHARUSAT campus. Which protocol is suitable in thelisted applications? Justify.,Understanding
62,What is the keyword used to define a singleton class in Kotlin?,Remembering
63,What is the difference between a property and a field in Kotlin?,Understanding
64,Can an inner class have its own properties and methods in kotlin?,Understanding
65,What is the purpose of the open modifier in Kotlin?,Understanding
66,What is a lambda in Kotlin?,Understanding
67,"What is the purpose of the ""async"" keyword in Dart?",Understanding
68,Which of the following is the correct syntax for a for loop in Dart?,Remembering
69,Which of the following is a characteristic of Dart programming language?,Remembering
70,Who developed the Flutter Framework and continues to maintain it today?,Remembering
71,Which function will return the widgets attached to the screen as a root of the widget tree to be rendered on screen in flutter?,Remembering
72,What is the key configuration file used when building a Flutter project?,Remembering
73,Which component allows us to specify the distance between widgets on the screen in flutter?,Remembering
74,Which widget type allows you to modify its appearance dynamically according to user input in flutter?,Understanding
75,What widget would you use for repeating content in Flutter?,Remembering
76,What is a widget in Flutter?,Understanding
77,How many child widgets can be added to the container widget in flutter?,Remembering
78,TextField widget allows app users to type text into an app in flutter.,Understanding
79,List different types of constructors available in kotlin? Explain them with proper examples.,Understanding
80,Demonstrate importance of Lambdas with example in kotlin.,Apply
81,Discuss function in kotlin. Explain its use with example.,Understanding
82,List types of the loop in kotlin and explain all types of loop with example.,Understanding
83,Explain use of data class with example in kotlin.,Understanding
84,Define list. Explain mutable List and an immutable List with example in kotlin.,Understanding
85,"Create flutter application of calculator (add, subtract, division, multiplication).",Apply
86,Explain how we can switch between two screen with example in flutter.,Apply
87,Demonstrate use of listview widget with example in flutter.,Apply
88,Explain Async and Await with example in dart.,Understanding
89,Create flutter application which show use of Row and column widget.,Apply
90,Demonstrate use of Pubspec.yaml file with example in flutter.,Apply
91,"Arrange the following functions in ascending order of theirgrowth.F1(n)=2n, F2(n)=n3/2,F3(n)=nlog2n, F4(n)=nlog2n",Analyze
92,What is the time complexity of the recursive implementation used tofind the nth Fibonacci term?,Analyze
93,Consider a minimization problem where finding the optimal solutionis computationally infeasible. Which of the following statementsabout approximation algorithms is true?,Analyze
94,Which of the following is the correct equation for the matrix chainmultiplication problem where mat[i-1] * mat[i] gives the dimension of the ith matrix?,Analyze
95,"Suppose you have candidate set C with coins of differentdenominations and you want to find the change of an amount N.You have an infinite supply of each of coins in C. According to greedyalgorithm, which of the following options, with values of C and K,will NOT produce an optimal answer?",Analyze
96,State true or false: Kruskal's algorithm can work for undirectedgraph only for finding MST.,Understanding
97,"State True or false: The Bellman-Ford algorithm indicates whetherthere is a negative-weight cycle that is reachable from the source.If there is such a cycle, the algorithm indicates that no solutionexists.",Understanding
98,"Assume that the algorithms considered here sort the input sequencesin ascending order. If the input is already in ascending order,which of the following are TRUE?",Understanding
99,Let X be a problem that belongs to the class NP. Then which one ofthe following is TRUE?,Understanding
100,"State true or false: In huffman coding, The code length does notdepend on the frequency of occurrence of characters.",Understanding
101,How many spanning trees does the given graph have?,Analyze
102,How many comparisons are needed to sort an array of length 5 if astraight selection sort is used and array is already in the descending order?,Apply
103,Consider the below table for jobs given with profit and deadline.Find the maximum profit earned.,Analyze
104,What is the basic principle in Rabin Karp algorithm?,Understanding
105,What is recurrence and time complexity for worst case of QuickSort?,Understanding
106,State Master Theorem. Solve the following recurrence equationsusing Master Theorem.,Apply
107,What is rate of the growth? What is the significance of it inanalyzing an algorithm? Solve the following recurrence usingrecurrence tree method: T(n)=T(n/3) + T(2n/3) + n,Analyze
108,"Define: P, NP, NP-complete and NP-hard problem. What is theimportance of approximation algorithms? Give two examples ofapproximation algorithm problems.",Apply
109,"Suppose that we have 4 tasks(T1,T2,T3,T4) to be performed on 4(A,B,C,D) machines (one task to one machine). Apply the branch andbound method to assign the tasks to the machines at the minimumcost. Following is the table where cost of tasks are mentioned foreach machine.",Apply
110,"Explain spurious hit in Rabin-Karp string matching algorithm.Working module q=13, How many spurious hits does the Rabin-Karpmatcher encounter in the text T= 2359023141526739921 when lookingfor pattern P = 31415?",Apply
111,Derive at least two solutions of 5-queen problem.,Evaluate
112,"Solve the following 0/1 knapsack problem for optimal solution.There are five items whose weights and values are given infollowing arrays, Weight w[] = { 1,4,5,6,7} and values V[] = {1,6,18,22,28}. Show equation and find out the optimal knapsackitems for weight capacity of 11 units.Assume that each item can beselected only once.",Apply
113, Show that recursive solution of finding longest common subsequence(LCS) has overlapping subproblems for the following givenstrings.Also apply dynamic programming solution for findingLCS.S1: PQRPPR S2: QPRP,Apply
114,"Write the equation for the Floyd-warshall algorithm.Show the matrixD(k) that results for each iteration on the given weighted,directed graph.",Apply
115, Consider that ABC academy is offering eight courses during itssummer session. The table shows with an X which pairs of courseshave one or more common students. Find the minimum number of timeslots required to schedule the lectures of all courses in oneday.,Apply
116,Identify Output of Given Code.,Evaluate
117,Determine the output or error from the below code.,Evaluate
118,Identify the Correct one.,Evaluate
119,Which of the following do not denote a primitive data value in Java?,Remembering
120,What is the correct formula for calculating the capacity of StringBuilder and StringBuffer Object?,Remembering
121,From the following statements which is a disadvantage of a Java array.,Remembering
122,"Which component is used to compile, debug and execute the java program?",Remembering
123,Which access specifiers can be used for a class so that it's members can be accessed by a different class in the different package?,Remembering
124,What is StringBuffere in java?,Remembering
125,Encapsulation is _________________.,Remembering
126,Please illustrate a situation where the finalize() method is engaged in Java to release an object from memory and clarify the significance of garbage collection in the Java programming language.,Apply
127,Why polymorphism is important in OOPS? What is Runtime Polymorphism? Demonstrate the working of runtime polymorphism using examples.,Apply
128,"Write an interactive program that reads a statement from the user input. The statement includes a number like ""4439 Gale Street, Livermore CA 94550"" and prints only the number from the given statement in the ""number.txt"" file. Users can enter multiple statements up till ""exit"" will be entered by the user.",Apply
129,Explain any five Buzzwords of Java with proper example.,Understanding
130,What is the use of Constructor? Explain different types of constructor. Explain Copy constructor using java program.,Apply
131,"Write a program to take input as a single dimension array that holds 10 integer elements, and replace the odd number with the new number multiplied by the 2. Print new array on the console.",Apply
132,"Explain the key differences between ArrayList and Vector in Java, and provide a Java program using generics to store only String values in an ArrayList, and then print the elements on the console in ascending order.",Apply
133,"Describe the distinctions between thread-based multitasking and process-based multitasking in the context of Java programming. Additionally,provide a brief explanation of the thread life cycle, highlighting its key stages.",Apply
134,"Explain the differences between checked and unchecked exceptions in Java. Additionally, provide a Java program that accepts a word as input and, if the third character of the word is a number, generates a custom exception called 'Third Character Number Exception'.",Apply
135,"Create a Java program demonstrating the utilization of the Hashtable class to store and retrieve student records. Each student record should include attributes such as Student_name, Student_Id, and Percentage. Implement a descending-order sorting mechanism based on the percentage attribute. Provide an explanation of the sorting process in your program.",Apply
136,"Write a java program to implement an interface called Exam with a method Pass (int mark) that returns a boolean. Write another interface called Classify with a method Division (int average) which returns a String. Write a class called Result which implements both Exam and Classify. The Pass method should return true if the mark is greater than or equal to 50 else false. The Division method must return ""First"" when the parameter average is 60 or more, ""Second"" when the average is 50 or more but below 60, ""No division"" when the average is less than 50.",Apply
137,What are the types of Inheritance? Explain any two types with examples.,Remembering
138,Which of the following attacks is a passive attack?,Remembering
139,Hacking refers to:,Remembering
140,What is the minimum number of cryptographic keys required for secure two-way communications in symmetric key cryptography?,Remembering
141,In the DES algorithm the round key is __________ bit and the Round Input is ____________bits.,Remembering
142,AES uses a ____________ bit block size and a key size of __________ bits.,Remembering
143,SSL primarily focuses on _______,Remembering
144,Which one of the following cipher types operates on large pieces of a message rather than individual characters or bits of a message?,Remembering
145,Which of the following is hardest to break using frequency analysis?,Remembering
146,Which of the following options correctly defines the Brute force attack?,Remembering
147,"Which of the following has the goal to recover the plaintext, the key, or both?",Remembering
148,Which of the following correct option to find multiplicative inverse of 11 in Z26?,Understanding
149,"Consider a=161 and b=28, choose the correct gcd(a,b) and values of s and t from below option.",Apply
150,Which one is true about Public Key Cryptosystem?,Remembering
151,Shared Secret Key is belongs to,Remembering
152,Generate the 2 keys of SDES using Key generation algorithm and using that sub key encrypt the following data. Let the plaintext be the string 01110010 Let the 10-bit key be 1010000010.,Apply
153," the rest of the matrix with the rest of the alphabet.Use the Playfair cipher to encipher the message ""LIVEFOOTBALLMATCH"". The secret key can be made by filling the first and part of the second row with the word ""ENVIRONMENT"" and filling",Apply
154,"How many modes of operations are available? Enlist all available modes and with a clear diagram explain how CBC,EBC and CFB mode is performed.",Understanding
155,Explain detailed Encryption Structure of AES with its four Transformation. What are the differences between DES and AES?,Understanding
156,Draw and Explain symmetric key distribution scenario.,Understanding
157,Draw and Explain symmetric key distribution scenario.,Understanding
158,"What will be the ciphered text corresponding to plain text ""ARMYMAN"" if an affine cipher is used with key values as a=5, b=10?",Apply
159,"What is the main strength of RSA algorithm? Given two prime numbers, p = 11; q = 13, public key, e = 11 and message, M = 7. Calculate private key and perform encryption using RSA algorithm",Apply
160,"In case of an insecure communication medium, how does Bob and Alice will securely share the key without sharing actual key. Determine the proper algorithm and calculate the shared secret of Bob and Alice. Consider prime q=71 and a primitive root a=7. If User Bob and Alice has private key 5 and 12 then calculate A's public key and B's public key.",Apply
161,"Bob Calculates the public key elements by choosing prime number q=19 using Elgamal cryptosystem.What are the values of other parameters such as ? & Ya? After getting all public components, Bob broadcasts public key to Alice. Alice performs the encryption by choosing message, M=10. Calculate the cipher texts performed by Alice. The private component of Bob and Alice are 4 and 6 respectively.",Analyze
162,"Use Rabin Cryptosystem and perform the encryption. Consider p=23 and q=7. Alice wants to send the plaintext, P=24. Which is the cipher text received by Bob? Calculate four possible values that Bob calculates.",Analyze
163,What is the role of SSL and TS?. Discuss architecture of SSL.,Analyze
164,Explain important components of public key cryptosystem. Give example of confidentiality and authentication with respect to public key cryptography.,Analyze
165,What are the limitations of symmetric key encryption? How does public key encryption overcome the limitations of symmetric key ecryption?,Analyze
166,"In Bitcoin case, blockchain is used in a __________way.",Remembering
167,Which of the following statement is true about blockchain?,Remembering
168,What is Proof of Stake?,Remembering
169,Private Blockchain allows for faster transactions speeds.,Remembering
170,"The function of ""address payable"" in solidity can",Remembering
171,How to declare a mapping of address to boolean in Solidity?,Remembering
172,Transaction fees is calculated from,Remembering
173,What do you mean by Coinbase transaction?,Remembering
174,Which of the following is used to point a block in blockchain?,Remembering
175,Which of the following component in Bitcoin helps in determining the difficulty of the mining algorithm?,Remembering
176,What are the components of Ethereum dApp?,Understanding
177,What is purpose of Channel in Hypeledger Fabric network?,Understanding
178,"Write a missing keyword in the blank. contract A { address admin; constructor() { admin = msg.sender; } function protected Function() external onlyAdmin() { ... } __________ onlyAdmin() { require(msg.sender == admin, 'only admin'); _; }}",Understanding
179,What is a miner?,Remembering
180,What characteristic makes Blockchain tamper-proof?,Remembering
181,What does a ledger in Blockchain does?,Remembering
182,"Asymmetric encryption uses one key for encryption, and a different key for decryption while symmetric encryption uses a single key for both encryption and decryption.",Remembering
183,Blockchain uses symmetric key encryption.,Remembering
184,Define following terminology with context of Blockchain Technology.1. Peer to peer network2. Trust management 3. Transparency 4. Data ownership 5. Information Tracking . Give justification that how of each of the terms given above are closely relate with Blockchain Technology.,Understanding
185,List the important properties of Block structure of Blockchain. Show the importance of nonce and difficulty parameters. What is the significant of target hash?,Understanding
186,Consensus mechanisms are the essential to approve block before storing into Blockchain. Justify the statement with proper example. List the various consensus mechanisms and why is Proof of Work (PoW) considered as energy intensive consensus mechanisms as compare to other consensus mechanisms.,Understanding
187,"Create Merkle Tree from eight data points starting from Data1 to Data8 using post-order traversal. Here Data1 means hash of Data1, Data12 means the combine hash of Data1 and Data2, and so on.",Apply
188,How does public key cryptography used in Blockchain? Explain cryptographically secure hash.,Understanding
189,Write a use case of Blockchain where it is used the most. Discuss the scope and advantages of using Blockchain compare to traditional methodology.,Analyze
190,Define Digital Signature. Differentiate between Symmetric key encryption and Asymmetric key encryption. How does Blockchain use Asymmetric key encryption.,Analyze
191,"Consider the two person, Alice and Bob want to transfer bitcoin. Bob initiates the transaction by transferring 2 bitcoin to Alice. Show step by step process of initiating transaction to received bitcoin into Alice's account.",Analyze
192,What are the challenged for Blockchain to be accepted globally?Discuss the various issues associated with Blockchain.,Analyze
193,"What is Decentralized Application (Dapp)? Explain important components of Dapp such as crypto wallet, Blockchain network and smart contract.",Understanding
194, Write a short note on following. 1. Ethereum 2. Hyperledger,Understanding
195,What are the different types of Blockchain? Explain any two with example.,Understanding
196,Syntax analysis processes the string of tokens built by ________ todetermine the statement class.,Remembering
197,Object code is,Remembering
198,LEX is a,Remembering
199,A left recursive grammar,Remembering
200,Mapping of name to storage is called _____,Remembering
201,If a grammar is LALR(1) then it is necessarily,Remembering
202,Which of the following expressions have no L-value?,Remembering
203,A pictorial representation of the value computed by each statementin the basic block is,Remembering
204,"The error of missing right parenthesis in the statement:xyz(a,2*(3+b) is detected in",Remembering
205,___ maintain the activation record of all procedures at run time.,Remembering
206,The advantage of using parser with valid prefix property is that,Remembering
207,The output of a preprocessor is,Remembering
208,In SDD ___ attribute depends on the parent node attributes.,Remembering
209,Which of the following loader links the subroutine with mainprogram at run time?,Remembering
210,Translator is the internal memory.,Remembering
211,Python code to Java code conversion can be done by,Remembering
212,Describe in detail the method used in the scanning process tominimize the overhead needed to process an input character.,Understanding
213,"Symbol Table is an important data structure created and maintainedby the compiler. What kind of data is kept in a symbol table?Additionally, describe the data structures that are used toimplement symbol tables along with their benefits and drawbacks.",Understanding
214,Design a SDD to display number of 0's in given binary number.,Apply
215,List issues in the design of a code generator. Explain reduction instrength and dead code elimination in terms of code optimization.,Understanding
216,What is the key difference between let and const when declaring variables?,Remembering
217,How can you check the length of an array in JavaScript?,Remembering
218,"In JavaScript, what keyword is used to import functionality from another module?",Remembering
219,"To enhance the security of cookies in a web application, which attribute(s) should be set to protect against cross-site scripting (XSS) and cross- site request forgery (CSRF) attacks?",Remembering
220,"How would you create a cookie named ""username"" with the value ""CHARUSAT"" that expires in 24 hours using JavaScript",Understanding
221,What is the purpose of routes in a web application?,Remembering
222,What is the purpose of a generator function in JavaScript?,Remembering
223,"When dealing with serialized input data, what security measures should be considered in the context of input validation to prevent attacks like deserialization vulnerabilities?",Understanding
224,"How do you create an Express.js middleware module named authMiddleware that logs ""Authentication Successful"" and then calls the next middleware in the stack?",Understanding
225,"To find a document with a specific value in the ""name"" field in MongoDB, what query would you use?",Understanding
226,"How do you create an ascending index on the ""age"" field in a MongoDB collection?",Understanding
227,"How would you update the ""age"" field of a document in the ""users"" collection where the ""name"" is ""Bob"" using the MongoDB Node.js driver?",Understanding
228,How can you concatenate two arrays using the spread operator?,Understanding
229,"How do you add a new element ""92"" to the end of an array named numbers?",Understanding
230,"In Express.js, how would you chain multiple middleware functions for a specific route (""/api/data"")?",Remembering
231,"In the MVC pattern, what does the ""Model"" represent?",Remembering
232,Which method is used to create a resolved promise with a specific value?,Remembering
233,How can you rename an exported function during the export statement?,Remembering
234,"How do you define a Sequelize model named ""User"" with fields ""username"" (string) and ""email"" (string)?",Remembering
